FLAG	KEY	EN	FR	ES	IND	KM	AR	TR	ET	RU	GE	HU	IT	SR	ZH	DE
PHP	ACT	Act	Acte	Acto	Tindakan	បទ​រំលោភ	الفعل	Fiil	Toiming	Акт	აქტი	Cselekmény	Atto	Radnja	案件	Tat
PHP	ACT_	Act	Acte	Acto	Tindakan	បទ​រំលោភ	الفعل	Fiil	Toiming	Акт	აქტი	Cselekmény	Atto	Radnja	案件	Tat
PHP	ACT_DETAILS	Act details	Détails sur l'Acte	Detalles del acto	Rincian Tindakan	ពត៌មាន​លំអិត​អំពី​​បទ​រំលោភ	تفاصيل الفعل	Fiilin detayları	Toimingu üksikasjad	Данные об акте	აქტის დეტალები	Cselekmény részletei	Dettagli dell'atto	Uradi detalj	案件信息	Tatdetails
PHP	ACT_S_	Act(s)	Acte(s)	Acto(s)	Tindakan	បទ​រំលោភ	الفعل (الأفعال)	Fiil(ler)	Toiming(ud)	Акт(ы)	აქტი (ები)	Cselekmény(ek)	Atto/i	Radnja	案件（多项）	Tat(en)
PHP	ACT_SEARCH_FORM	Act Search Form	Formulaire de recherche d'actes	Formulario para búsqueda de actos	Form Pencarian Tindakan	ទំរង់​ស្វែង​រក​បទ​រំលោភ	نموذج البحث في الأفعال	Fiil Arama Formu	Toimingu Otsingu vorm	Форма поиска акта	აქტის  ძიების ფორმა	Cselekmény kereső	Modulo di Ricerca Atto	Obrazac za pretragu radnji	案件搜索表	Tat Suchformular
PHP	ACTION	Action	Action	Acción	Tindakan	សកម្មភាព	التصرف -الأداء	İşlem	Tegevus	Действие	მოქმედება	Akció	Azione	Akcija	行动	Aktion
PHP	ACTIONS	Actions	Actions	Acciones	Tindakan	សកម្មភាព	التصرفات-الأداء	İşlem(ler)	Tegevused	Действия	მოქმედებები	Akciók	Azioni	Akcije	行动（多项）	Aktionen
PHP	ACTIVATED	Activated	Activé	Activado	Aktifkan	សកម្ម	مُفَعَّل 	Etkin	Aktiveeritud	Активированные	აქტივირებული	Aktivált	Attivato	Aktivirano	已启动	aktiviert
PHP	ACTS	Acts	Actes	Actos	Tindakan	បទ​រំលោភ	الأفعال	Fiiller	Toimingud	Акты	აქტები	Cselekmény	Atti	Radnje	侵权案件	Taten
PHP	ADD_ACT	Add Act	Ajouter l'Acte	Agregar un acto	Tambahkan Tindakan	បន្ថែម​បទ​រំលោភ	إضافة فعل	Fiil Ekle	Lisa Toiming	Добавить акт	დაამატეთ აქტი	Cselekmény hozzáadása	Aggiungere Atto	Dodaj radnju	添加侵权案件	Tat hinzufügen
PHP	ADD_ADDITIONAL_DETAILS	Add Additional Details	Ajouter Détails supplémentaires	Agregar detalles adicionales	Tambahkan Rincian Tambahan	បន្ថែម​ពត៌មាន​លំអិត​ផ្សេង​ទៀត	إضافة تفاصيل إضافية	Ek Bilgi Ekle	Lisa Täiendavad üksikasjad	Добавить дополнительные данные	დაამატეთ დამატებითი დეტალები	Részletek hozzáadása	Aggiungere Dettagli Supplementari	Dodaj dodatne detalje	添加更多详情	hinzufügen zusätzlicher Details
PHP	ADD_ADDITIONAL_DETAILS_FOR	Add Additional Details for	Ajouter Détails supplémentaires pour	Agregar detalles adicionales para el acto	Tambahkan Rincian Tambahan untuk	បន្ថែម​ពត៌មាន​លំអិត​​សំរាប់	إضافة تفاصيل إضافية لـ	Ek Bilgi Ekle	Lisa Täiendavad üksikasjad ...	Добавить дополнительные данные для	დაამატეთ  დამატებითი დეტალები	Részletek hozzáadása	Aggiungere Dettagli Supplementari per	Dodaj dodatne detalje za	给这个添加其他信息	hinzufügen zusätzlicher Details für
PHP	ADD_ADDRESS	Add Address	Ajouter Adresse	Agregar una dirección	Tambahkan Alamat	បន្ថែម​អាសយដ្ឋាន	إضافة عنوان	Adres Ekle	Lisa Aadress	Добавить адрес	დაამატეთ მისამართი	Cím hozzáadása	Aggiungere Indirizzo	Dodaj adresu	添加地址	Adresse hinzufügen
PHP	ADD_BIOGRAPHIC_DETAILS	Add Biographic Details	Ajouter des Détails biographiques	Agregar detalles biográficos	Tambahkan Riwayat Hidup	បញ្ចូល​​ជីវ​ប្រវត្តិ​លំអិត	إضافة تفاصيل ذاتية	Biyografik Detay Ekle	Lisa Eluloolised üksikasjad	Добавить биографические данные	დაამატეთ ბიოგრაფიული დეტალები	Életrajzi adatok hozzáadása	Aggiungere Dettagli Biografici	Dodaj biografske podatke	添加出身背景信息	hinzufügen bographische Details
PHP	ADD_CHAIN_OF_EVENTS	Add Chain of Events	Ajouter une Chaîne d'événements	Agregar una cadena de eventos	Tambahkan Rangkaian Peristiwa	បន្ថែម​ចង្វាក់​ព្រឹត្តិការណ៍	إضافة سلسلة أحداث	Olaylar Zinciri Ekle	Lisa Sündmuste ahel	Добавить цепочку событий	დაამატეთ შემთხვევათა  თანამიმდევრობა	Eseménysorozat hozzáadása	Aggiungere Serie degli Eventi 	Dodaj lanac događaja	添加事件链	hinzufügen von Ereignissekette/ Ereignisverlauf
PHP	ADD_EVENT_INFORMATION	Add Event Information	Ajouter de l'information sur l'Evénement	Agregar información del evento	Tambahkan Informasi Peristiwa	បន្ថែម​ពត៌មាន​អំពី​ព្រឹត្តិការណ៍	إضافة معلومات حول الحدث	Olay Tanımı Ekle	Lisa Sündmuse Informatsioon	Добавить информацию о событии	დაამატეთ ინფორმაცია შემთხვევის  შესახებ	Esemény információ hozzáadása	Aggiungere Informazioni sull'Evento	Dodaj informacije o događaju	添加事件信息	hinzufügen von Ereignisinformation
PHP	ADD_FIELD	Add field	Ajouter un champ	Agregar un campo	Tambahkan field	បន្ថែម​ខ្ទង់	إضافة خانة	Alan Ekle	Lisa väli	Добавить поле	დაამატეთ მინდორი	Mező hozzáadása	Aggiungere campo	Dodaj polje	添加选项	Feld hinzufügen
PHP	ADD_FIELD_TO	Add field to	Ajouter un champ à	Agregar un campo a	Masukkan field ke	បន្ថែម​ខ្ទង់​ដល់	إضافة خانة إلى	Alan Ekle	Lisa väli ...	Добавить поле в	დაუმატეთ მინდორი (რაღაცას)	Mező hozzáadása	Aggiungere campo a	Dodaj polje...	添加选项到	Feld hinzufügen zu
PHP	ADD_FIELDS_TO_SEARCH_RESULTS	Add fields to search results	Ajouter des champs aux résultats de la recherche	Agregar campos a los resultados de búsqueda	Masukkan field dalam hasil pencarian	បន្ថែម​ខ្ទង់​ដើម្បី​ស្វែង​រក​លទ្ធផល	إضافة خانات إلى نتائج البحث	Arama Sonuçlarına Alan Ekle	Lisa väljad otsingu tulemustesse	Добавить поля в результаты поиска	დაუმატეთ მინდვრები ძიების შედეგებს	Mező hozzáadása a keresési eredményekhez	Aggiungere campi ai risultati della ricerca	Dodaj polja kako bi pretražio/la rezultate	在搜索结果里添加选项	Felder hinzufügen zu Suchergebnis
PHP	ADD_INFORMATION	Add Information	Ajouter une Information	Agregar una información	Tambahkan Informasi	បន្ថែម​ពត៌មាន	إضافة معلومات	Bilgi Ekle	Lisa Informatsioon	Добавить информацию	დაამატეთ ინფორმაცია	Információ hozzáadása	Aggiungere Informazione	Dodaj informaciju	添加信息	Informationen hinzufügen
PHP	ADD_INTERVENING_PARTY	Add Intervening Party	Ajouter une Partie Intervenante	Agregar una parte interviniente	Tambahkan Pihak yang Mengintervensi	បន្ថែមភាគី​អន្តរាគមន៍	إضافة طرف متدخل	Müdahil Taraf Ekle	Lisa Sekkuja	Добавить вмешивающуюся сторону	დაამატეთ ჩართული მხარე	Beavatkozó fél hozzáadása	Aggiungere Parte Interveniente	Dodaj intervenišuću stranu	添加第三方介入	eingreifende Partei hinzufügen
PHP	ADD_INTERVENTION	Add Intervention	Ajouter une Intervention	Agregar una intervención	Tambahkan Intervensi	បន្ថែម​បទ​អន្តរាគមន៍	إضافة تَدَخُّل	Müdahale Ekle	Lisa Sekkumine	Добавить вмешательство	დაამატეთ ინტერვენცია	Beavatkozás hozzáadása	Aggiungere Intervento	Dodaj intervenciju	添加案件介入	Intervention hinzufügen
PHP	ADD_INTERVENTIONS	Add Interventions	Ajouter des Interventions	Agregar intervenciones	Tambahkan Intervensi	បន្ថែម​បទ​អន្តរាគមន៍	إضافة تَدَخُّلات	Müdahale Ekle	Lisa Sekkumised	Добавить вмешательства	დაამატეთ ინტერვენციები	Beavatkozások  hozzáadása	Aggiungere Interventi	Dodaj intervencije	添加多项案件介入	Intervention hinzufügen
PHP	ADD_INVOLVEMENT	Add Involvement	Ajouter l'Implication	Agregar un involucramiento	Tambahkan Keterlibatan	បន្ថែម​បទ​អន្តរាគមន៍	إضافة تورط	Katılım Ekle	Lisa Osalus	Добавить участие	დაამატეთ ჩართულობა	Bevonás hozzáadása	Aggiungere Coinvolgimento	Dodaj uključivanje	添加案件参与	
PHP	ADD_LANGUAGE	Add language	Ajouter une langue	Agregar un idioma	Tambahkan Bahasa	បន្ថែម​ភាសា	إضافة لغة	Dil Ekle	Lisa keel	Добавить язык	დაამატეთ ენა	Nyelv hozzáadása	Aggiungere lingua	Dodaj jezik	添加语言	Sprache hinzufügen
PHP	ADD_MORE_PERPETRATORS	Add More Perpetrators	Ajouter des Auteurs	Agregar más perpetradores	Tambahkan Pelaku	បន្ថែម​ជន​ប្រព្រឹត្តិ	إضافة المزيد من الجناة	Daha Fazla Fail Ekle	Lisa Rohkem Toimepanijaid	Добавить других правонарушителей	დაამატეთ უფრო მეტი სამართალდამრღვევი მხარე	Elkövető hozzáadása	Aggiungere Altri Autori	Dodaj još počinilaca	添加更多侵权者	hinzufügen weiterer Angreifer_innen
PHP	ADD_NEW	Add new	Ajouter nouvel	Agregar nuevo	Tambahkan baru	បន្ថែម​ថ្មី	إضافة جديدة	Yeni Ekle	Lisa uus	Добавить новый	დაამატეთ ახალი	Hozzáadás	Aggiungi nuovo	Dodaj novo	添加新的	neu hinzufügen
PHP	ADD_NEW_DOCUMENT	Add New Document	Ajouter un nouveau Document	Agregar un nuevo documento	Masukkan Dokumen Baru	បន្ថែម​ឯកសារ​ថ្មី​ទៀត	إضافة وثيقة جديدة	Yeni Belge Ekle	Lisa uus Dokument	Добавить новый документ	დაამატეთ ახალი დოკუმენტი	Dokumentum hozzáadása	Aggiungere Nuovo Documento	Dodaj novi dokument	添加新文件	neues Dokument hinzufügen
PHP	ADD_NEW_EVENT	Add new Event	Ajouter un nouvel Evénement	Agregar un nuevo evento	Tambah Peristiwa baru	បន្ថែម​ព្រឹត្តិការណ៍​ថ្មី	إضافة حدث جديد	Yeni Olay Ekle	Lisa uus Sündmus	Добавить новое событие	დაამატეთ ახალი შემთხვევა	Esemény hozzáadása	Aggiungere nuovo Evento	Dodaj novi događaj	添加新事件	neues Ereignis hinzufügen
PHP	ADD_NEW_FIELD	Add new field	Ajouter un nouveau champ	Agregar un nuevo campo	Masukkan field baru	បន្ថែម​ខ្ទង់​ថ្មី	إضافة خانة جديدة	Yeni Alan Ekle	Lisa uus väli	Добавить новое поле	დაამატეთ ახალი მინდორი	Mező hozzáadása	Aggiungere nuovo campo	Dodaj novo polje	添加新选项	neues Feld hinzufügen
PHP	ADD_NEW_PERSON	Add New Person	Ajouter une nouvelle Personne	Agregar una nueva persona	Tambahkan Orang Baru	បន្ថែម​បុគ្គល​ថ្មី	إضافة شخص جديد	Yeni Kişi Ekle	Lisa uus Isik	Добавить нового человека	დაამატეთ ახალი პირი	Személy hozzáadása	Aggiungere Nuova persona	Dodaj novu osobu	添加新人士	neue Person hinzufügen
PHP	ADD_NEW_USER	Add New User	Ajouter un nouvel Utilisateur	Agregar nuevo(a) usuario(a)	Tambahkan Pengguna	បន្ថែម​អ្នក​ប្រើ​ប្រាស់​ថ្មី	إضافة مستخدم جديد	Yeni Kullanıcı Ekle	Lisa uus Kasutaja	Добавить нового пользователя	დაამატეთ ახალი მომხმარებელი	Felhasználó hozzáadása	Aggiungere Nuovo Utente	Dodaj novog korisnika/cu	添加新用户	neue_n Benutzer_in hinzufügen
PHP	ADD_PERPETRATOR	Add Perpetrator	Ajouter l'Auteur	Agregar un perpetrador	Tambahkan Pelaku	បន្ថែម​ជន​ប្រព្រឹត្តិ	إضافة جانٍ	Fail Ekle	Lisa toimepanija	Добавить правонарушителя	დაამატეთ სამართალდამრღვევი მხარე	Elkövető hozzáadása	Aggiungere Autore	Dodaj počinioca	添加侵权者	Angreifer_in hinzufügen
PHP	ADD_PERPETRATOR_S_	Add Perpetrator(s)	Ajouter un Auteur(s)	Agregar un perpetrador	Tambahkan Pelaku	បន្ថែម​ជន​ប្រព្រឹត្តិ	إضافة جانٍ  (جناة)	Fail(ler) Ekle	Lisa Toimepanija(d)	Добавить правонарушителей	დაამატეთ სამართალდამრღვევი მხარე (ები)	Elkövető(k) hozzáadása	Aggiungere Autore/i	Dodaj počinioca/e	添加多个侵权者	Angreifer_in(en) hinzufügen
PHP	ADD_ROLE	Add Role	Ajouter un Rôle	Agregar actividad	Tambahkan Peran	បន្ថែម​តួនាទី	إضافة دور	Rol Ekle	Lisa Roll	Добавить роль	დაამატეთ როლი	Szerep hozzáadása	Aggiungere Ruolo	Dodaj ulogu	添加角色	Funktion hinzufügen
PHP	ADD_SOURCE	Add Source	Ajouter une Source	Agregar una fuente	Tambahkan Sumber	បន្ថែម​ប្រភព	إضافة مصدر	Kaynak Ekle	Lisa Allikas	Добавить источник	დაამატეთ წყარო	Forrás hozzáadása	Aggiungere Fonte	Dodaj izvor	添加来源	Quelle hinzufügen
PHP	ADD_SUPPORTING_DOCUMENT_S_	Add Supporting Document(s)	Ajouter Documents de Support	Agregar documentos de apoyo	Tambahkan Dokumen-Dokumen Pendukung	បន្ថែម​ឯកសារ​យោង	إضافة وثيقة (وثائق) داعمة	Destekleyici Belge(ler) Ekle	Lisa Toetav(ad) Dokument/-did	Добавить подтверждающий(е) документ(ы)	დაამატეთ დამადასტურებელი დოკუმენტი (ები)	Igazoló dokumentum(ok) hozzáadása	Aggiungere Documento/i Giustificativo/i	Dodaj prateći/e dokument/e	添加支持文件	unterstützende Dokumente hinzufügen
PHP	ADD_VICTIM	Add Victim	Ajouter la Victime	Agregar una víctima	Tambahkan Korban	បន្ថែម​ជន​រង​គ្រោះ	إضافة ضحية	Mağdur Ekle	Lisa Ohver	Добавить жертву	დაამატეთ მსხვერპლი	Áldozat hozzáadása	Aggiungere Vittima	Dodaj žrtvu	添加受害者	Opfer hinzufügen
PHP	ADD_VICTIMS_AND_PERPETRATORS_TO_THIS_EVENT	Add Victims and Perpetrators to this Event	Ajouter des Victimes et des Auteurs à cet Evénement	Agregar víctimas y perpetradores a este evento	Tambahkan Korban dan Pelaku dalam Peristiwa ini	បន្ថែម​ជន​រង​គ្រោះ​និង​ជន​ប្រព្រឹត្តិ​ឲ្យ​ព្រឹត្តិការណ៍​នេះ	إضافة ضحايا وجناة إلى هذا الحدث	Olayın Mağdur ve Faillerini Ekle	Lisa Ohvrid ja Toimepanijad sellele Sündmusele	Добавить жертв и правонарушителей к этому событию	დაამატეთ მოცემული შემთხვევის მსხვერპლი და სამართალდამრღვევი მხარე	Áldozat és elkövető hozzáadása	Aggiungere Vittime e Autori a questo Evento	Dodaj žrtve i počinioce za ovaj događaj	添加多个受害者跟侵权者到此事件中	hinzufügen von Opfern und Angreifer_innen zu dem Ereignis
PHP	ADDING_ADDRESS___	Adding Address...	Ajouter une adresse...	Se está agregando la dirección...	Menambahkan Alamat...	អាស័យ​ដ្ឋានដែល​កំពុង​បន្ថែម...	إضافة عنوان...	Adres Ekleniyor...	Lisan Aadressi ...	Добавляется адрес…	დაამატეთ მისამართი…	Cím hozzáadása…	Aggiunta Indirizzo...	Dodaj adresu	添加地址中。。。	Adresse hinzufügen
PHP	ADDING_EVENT_INFORMATION	Adding Event Information	Ajouter de l'information à cet Evénement	Agregando información del evento	Menambahkan Informasi Peristiwa	ពត៌មាន​អំពីព្រឹត្តិការណ៍​ដែល​កំពុង​បន្ថែម	إضافة معلومات الحدث	Olay Tanımı Ekleniyor...	Lisan Sündmuse Informatsiooni ...	Добавляется информация о событии	დაამატეთ ინფორმაცია შემთხვევის  შესახებ	Esemény információ hozzáadása	Aggiunta Informazioni sull'Evento	Dodaj informaciju o događaju	添加事件信息中	Ereignisinformation hinzufügen
PHP	ADDING_PERSON_ADDRESS____	Adding Person Address ...	Ajouter l'adresse de la Personne...	Se está agregando la dirección de la persona...	Menambahkan Alamat Orang	អាស័យ​​ដ្ឋាន​បុគ្គល​ដែល​កំពុង​បន្ថែម...	إضافة عنوان الشخص	Kişi Adresi Ekleniyor...	Lisan Isiku Aadressi ...	Добавляется адрес человека…	დაამატეთ პირის მისამართი...	Személy címének hozzáadása	Aggiunta Indirizzo della Persona	Dodaj adresu osobe	添加人士地址中。。。	hinzufügen der Adresse der Person
PHP	ADDING_PERSON_INFORMATION____	Adding Person information ...	Ajouter des informations sur la Personne ...	Agregando la información de la persona...	Menambahkan informasi Orang...	ពត៌មាន​បុគ្គល​ដែល​កំពុងបន្ថែម...	إضافة معلومات الشخص	Kişi Bilgisi Ekleniyor...	Lisan Isiku Informatsiooni ...	Добавляется информация о человеке…	დაამატეთ ინფორმაცია პირის შესახებ...	Információ hozzáadása a személyről	Aggiunta Informazioni sulla Persona	Dodaj informacije o osobi	添加人士信息中。。。	hinzufügen von Personeninformation
PHP	ADDITIONAL_DETAIL_TYPE	Additional Detail Type	Type de Détails supplémentaires	Tipo de detalle adicional	Jenis Rincian Tambahan	ប្រភេទ​ពត៌មាន​លំអិត​បន្ថែម	نوع التفاصيل الإضافية	Ek Bilgi Türü	Täiendav üksikasja tüüp	Тип дополнительной информации	დამატებითი დეტალის ტიპი	Egyéb részlet típus	Tipo di Dettaglio Aggiuntivo	Dodatna vrsta podataka	更多详情类型	Detail Typ hinzufügen
PHP	ADDITIONAL_DETAILS	Additional Details	Détails supplémentaires	Detalles adicionales	Rincian Tambahan	ពត៌មាន​លំអិត​បន្ថែម	التفاصيل إضافية	Ek Bilgiler	Täiendavad üksikasjad	Дополнительная информация	დამატებითი დეტალები	Egyéb részlet	Dettagli Aggiuntivi	Dodatni podaci	更多详细信息	Details hinzufügen
PHP	ADDRESS	Address	Adresse	Dirección	Alamat	អាសយដ្ឋាន	العنوان	Adres	Aadress	Адрес	მისამართი	Cím	Indirizzo	Adresa	地址	Adresse hinzufügen
PHP	ADDRESS_OF_A_PERSON_	Address of a person	Adresse d'une personne	Dirección de una persona	Alamat orang	អាសយ​ដ្ឋាន​របស់​បុគ្គល	عنوان الشخص	Kişi Adresi	Isiku Aadress	Адрес человека	პირის მისამართი	Személy címe	Indirizzo di una persona	Adresa osobe	个人地址	Adresse einer Person
PHP	ADDRESS_TYPE	Address Type	Type d'adresse	Tipo de dirección	Tipe Alamat	ប្រភេទ​អាសយ​ដ្ឋាន	نوع العنوان	Adres Türü	Aadressi tüüp	Тип адреса	მისამართის ტიპი	Cím típusa	Tipo d'Indirizzo	Vrsta adrese	地址类型	Adresstyp
PHP	ADMIN	Admin	Admin	Administración	Admin	ការងារ​រដ្ឋបាល	مسؤول نظام  قاعدة البيانات	Yönetici	Administraator	Админ	ადმინისტრირება	Admin	Admin 	Admin	管理员	Administrator_in
PHP	ADVANCED	Advanced	Avancé	Avanzado	Mutakhir	កាន់តែ​លំអិត​(Advanced)	مُتَقَدِّم	Gelişmiş	Laiendatud	Расширенный	დაჩქარებული	Részletes	Avanzato	Napredni	高级	fortgeschritten
PHP	ADVANCED_SEARCH	Advanced search	Recherche avancée	Búsqueda avanzada	Pencarian Mutakhir	ការ​ស្វែង​រក​លំអិត	بحث مُتَقَدِّم	Gelişmiş Arama	Laiendatud otsing	Расширенный поиск	დაჩქარებული ძიება	Részletes keresés	Ricerca avanzata	Napredna pretraga	高级搜索	fortgeschrittene Suche
JS	AFTER	after	après	después de	setelah	after	بَعْدَ	Sonra	pärast	после	შემდეგ	után	dopo	Posle	之后	danach
PHP	AGAINST	against	contre	en contra de	terhadap	ប្រឆាំង​នឹង	ضد	Karşı	vastu	против	წინააღმდეგ	ellen	contro	Nasuprot	针对	dagegen
PHP	ALL_COLUMNS_HAVE_BEEN_RESET_TO_THEIR_ORIGINAL_VALUES_	All columns have been reset to their original values.	Toutes les colonnes ont été réinitialisées à leurs valeurs d'origine.	Todas las columnas han sido restauradas a sus parámetros originales	Semua kolom dikembalikan ke nilai awal	តារាងជួរឈរ​ទាំងអស់​ត្រូវ​បាន​កំណត់​ឡើងវិញ​ដូច​តារាងដើម	تم إعادة ضبط كافة الأعمدة إلى قيمها الأصلية.	Tüm sütunlar özgün değerlerine döndü.	Kõik veerud on nullitud algväärtustele	Все колонки были сброшены до их первоначальных значений.	ყველა სვეტი განულებულია თავის პირველად მაჩვენებლებზე	Minden oszlop az eredeti értékre visszaállítva.	Tutte le colonne sono state ripristinate ai loro valori originali.	Sve kolone su resetovane na prvobitne vrednosti	所有栏重置回到初始内容	Alle Spalten wurden auf ihre Originaleinträge zurück gesetzt
PHP	ANALYSIS	Analysis	Analyse	Análisis	Analisis	ការវិភាគ	التحليل	Analiz	Analüüs	Анализ	ანალიზი	Elemzés	Analisi	Analiza	分析	Analyse
JS	AND	AND	ET	Y	DAN	នឹង	و	VE	AND	И	და	ÉS	E	I	和	Uund
PHP	APPLY_CHANGES_PERMANENTLY	Apply changes permanently	Appliquer les modifications définitivement	Aplicar los cambios permanentemente	Lakukan perubahan permanen	យល់​ព្រម​ឲ្យ​មាន​ការ​ផ្លាស់​ប្តូរ​នេះ​ជា​អចិន្ត្រៃយ៍	تطبيق التغييرات بشكل دائم	Değişiklikleri Kalıcı Olarak Uygula	Rakenda muudatused lõplikult	Применить изменения без возможности восстановления	გამოიყენეთ ცვლილებები მუდმივად	Változtatások véglegesítése	Applica i cambiamenti in maniera permanente	Trajno primeni promene	把更改变成永久性	Änderungen dauerhaft anwenden
PHP	ARREST	Arrest	Arrestation	Arresto, detención o proceso judicial	Penangkapan	ការ​ចាប់​ខ្លួន	الاعتقال	Tutuklama	Arest	Арест	დაკავება	Letartóztatás	Arresto	Zaustavi 	逮捕	inhaftieren
JS	AT	at	au	a	saat	នៅ	في	tam	... ajal	в	როდის	itt:	a	Na	在	bei
JS	AT_OR_AFTER	at or after	au ou après	a o después de	saat atau setelah	at or after	في أو بَعْدَ	tam veya sonrasında olan	... ajal või pärast ...	в или после	როდის და შემდეგ	itt vagy után	a o dopo	Na ili nakon	在或之后	bei oder danach
JS	AT_OR_BEFORE	at or before	au ou avant	a o antes de	saat atau sebelum	នៅ​ចំ​ឬ​ពីមុន	في أو قبل	tam veya öncesinde olan	... ajal või enne ...	в или до	როდის და წინ	itt vagy előtt	a o prima	Na ili pre	在或之前	bei oder davor
PHP	AUDIT	Audit	Audit	Revisión	Audit	ត្រូត​ពិនិត្យ​ឡើង​វិញ	تدقيق	Gözden geçirme	Audit	Аудит	აუდიტი	Vizsgálat	Controllo	Audit	审计	Kontrolle
PHP	AUDIT_LOG	Audit log	Carnet d'Audit	Revisar los datos de creación y modificación del registro	Catatan Audit	តារាងសំរាប់​ធ្វើ​ការ​ត្រួត​ពិនិត្យ​ឡើង​វិញ	سجل التدقيق	Gözden geçirme kayıtları	Auditi logi	Журнал аудита	აუდიტის ჟურნალი	Vizsgálat log	Registro di controllo	Audit log	审计日记	Kontrolle log
PHP	AUDIT_LOG_DETAILS_ARE_NOT_AVAILABLE_FOR_THIS_EVENT	Audit log details are not available for this Event	Détails audit pas disponibles pour cet Evénement	Los detalles de creación y modificación del registro de este evento no están disponibles	Catatan Detil tidak tersedia untuk Peristiwa ini	បិទ​ពត៌មាន​លំអិត​មិន​ឲ្យ​មើល​ឃើញ​សំរាប់​ព្រឹត្តិការណ៍នេះ	تفاصيل سجل التدقيق غير متوفرة لهذا الحدث	Bu Olay için gözden geçirme kayıtları mevcut değil.	Auditi logi üksikasjad ei ole saadaval selle Sündmuse jaoks	Подробности журнала аудита не доступны для данного события	აუდიტის ჟურნალის დეტალები არ არის ხელმისაწვდომი მოცემული შემთხვევისთვის	Vizsgálat log nem elérhető ehhez az eseményhez	Dettagli di registro di controllo non disponibili per questo Evento	Podaci o audit log nisu dostupni za ovaj događaj	该事件没有审计日记信息	Kontrolle Log Details sind nicht verfügbar für dieses Ereignis
PHP	BACK	Back	Retour	Atrás	Kembali	ត្រឡប់​ក្រោយ	رجوع	Geri	Tagasi	Назад	უკან	Vissza	Indietro	Nazad	返回	zurück
